time,Bx,By,Bz,BT
0.010,14.46,-1.32,0.54,14.53
0.042,14.46,-1.32,0.60,14.53
0.054,14.46,-1.32,0.66,14.54
0.069,14.46,-1.26,0.72,14.53
0.090,14.40,-1.26,0.72,14.47
0.110,14.40,-1.26,0.72,14.47
0.131,14.34,-1.20,0.72,14.41
0.152,14.34,-1.20,0.72,14.41
0.170,14.34,-1.14,0.72,14.40
0.191,14.34,-1.14,0.72,14.40
0.212,14.34,-1.14,0.72,14.40
0.231,14.34,-1.14,0.72,14.40
0.251,14.40,-1.14,0.72,14.46
0.272,14.40,-1.08,0.72,14.46
0.292,14.46,-1.08,0.72,14.52
0.340,14.52,-1.08,0.72,14.58
0.341,14.58,-1.08,0.72,14.64
0.355,14.58,-1.02,0.72,14.63
0.375,14.64,-1.02,0.72,14.69
0.407,14.70,-1.02,0.72,14.75
0.433,14.70,-1.02,0.72,14.75
0.441,14.70,-1.02,0.78,14.76
0.456,14.70,-1.02,0.84,14.76
0.473,14.70,-1.02,1.02,14.77
0.498,14.70,-1.02,1.14,14.78
0.525,14.70,-1.02,1.26,14.79
0.539,14.76,-1.02,1.44,14.87
0.554,14.76,-1.02,1.56,14.88
0.574,14.76,-0.96,1.68,14.89
0.595,14.76,-0.96,1.80,14.90
0.620,14.76,-0.96,1.86,14.91
0.638,14.76,-0.96,1.86,14.91
0.663,14.76,-0.96,1.80,14.90
0.688,14.76,-0.96,1.68,14.89
0.701,14.70,-0.96,1.50,14.81
0.719,14.70,-1.02,1.26,14.79
0.742,14.70,-1.02,1.02,14.77
0.762,14.70,-1.02,0.72,14.75
0.782,14.70,-1.02,0.54,14.75
0.802,14.70,-1.02,0.30,14.74
0.829,14.70,-1.02,0.12,14.74
0.843,14.70,-1.08,0.06,14.74
0.863,14.70,-1.08,0.00,14.74
0.887,14.64,-1.14,0.06,14.68
0.904,14.52,-1.20,0.12,14.57
0.932,14.40,-1.26,0.12,14.46
0.948,14.28,-1.38,0.12,14.35
0.966,14.22,-1.44,0.12,14.29
0.986,14.10,-1.50,0.12,14.18
1.006,13.98,-1.62,0.18,14.07
1.035,13.92,-1.68,0.18,14.02
1.064,13.92,-1.68,0.24,14.02
1.070,13.98,-1.68,0.30,14.08
1.090,13.98,-1.68,0.36,14.09
1.111,14.04,-1.68,0.42,14.15
1.131,14.10,-1.68,0.48,14.21
1.150,14.10,-1.68,0.54,14.21
1.171,14.16,-1.68,0.60,14.27
1.191,14.22,-1.68,0.66,14.33
1.228,14.28,-1.62,0.66,14.39
1.239,14.28,-1.56,0.60,14.38
1.254,14.28,-1.50,0.60,14.37
1.274,14.34,-1.44,0.60,14.42
1.296,14.46,-1.44,0.60,14.54
1.316,14.52,-1.38,0.66,14.60
1.341,14.58,-1.32,0.66,14.65
1.356,14.64,-1.32,0.78,14.72
1.378,14.70,-1.32,0.84,14.78
1.397,14.76,-1.32,0.90,14.85
1.419,14.88,-1.32,0.96,14.97
1.442,14.94,-1.32,1.08,15.04
1.459,15.00,-1.32,1.14,15.10
1.479,15.06,-1.32,1.20,15.17
1.505,15.06,-1.32,1.20,15.17
1.525,15.12,-1.32,1.20,15.22
1.549,15.12,-1.32,1.20,15.22
1.558,15.12,-1.32,1.20,15.22
1.579,15.12,-1.32,1.20,15.22
1.599,15.06,-1.32,1.20,15.17
1.621,15.00,-1.32,1.20,15.11
1.646,15.00,-1.32,1.20,15.11
1.669,15.00,-1.32,1.20,15.11
1.687,15.00,-1.32,1.20,15.11
1.705,15.00,-1.32,1.20,15.11
1.723,14.94,-1.32,1.14,15.04
1.750,14.94,-1.32,1.08,15.04
1.766,14.94,-1.32,1.02,15.03
1.787,14.88,-1.32,0.96,14.97
1.807,14.88,-1.32,0.90,14.97
1.837,14.82,-1.32,0.84,14.90
1.849,14.82,-1.32,0.78,14.90
1.868,14.82,-1.32,0.72,14.90
1.889,14.82,-1.32,0.72,14.90
1.909,14.82,-1.32,0.72,14.90
1.930,14.82,-1.32,0.72,14.90
1.950,14.88,-1.32,0.72,14.96
1.970,14.88,-1.32,0.72,14.96
1.990,14.94,-1.32,0.72,15.02
2.012,14.94,-1.32,0.72,15.02
2.035,14.94,-1.32,0.72,15.02
2.071,14.94,-1.32,0.72,15.02
2.073,14.94,-1.32,0.72,15.02
2.091,14.94,-1.32,0.72,15.02
2.112,14.94,-1.32,0.72,15.02
2.134,14.94,-1.38,0.72,15.02
2.158,14.88,-1.38,0.72,14.96
2.179,14.82,-1.38,0.72,14.90
2.204,14.76,-1.32,0.72,14.84
2.218,14.76,-1.38,0.66,14.84
2.235,14.70,-1.38,0.66,14.78
2.255,14.70,-1.44,0.66,14.79
2.275,14.70,-1.44,0.66,14.79
2.296,14.70,-1.44,0.60,14.78
2.316,14.70,-1.44,0.60,14.78
2.341,14.76,-1.50,0.60,14.85
2.362,14.82,-1.50,0.60,14.91
2.377,14.82,-1.56,0.54,14.91
2.397,14.88,-1.56,0.42,14.97
2.420,14.94,-1.56,0.30,15.02
2.448,14.94,-1.62,0.12,15.03
2.458,15.00,-1.62,0.00,15.09
2.478,15.00,-1.62,-0.18,15.09
2.503,15.00,-1.68,-0.30,15.10
2.519,15.00,-1.68,-0.42,15.10
2.539,15.00,-1.68,-0.48,15.10
2.561,14.94,-1.68,-0.48,15.04
2.584,14.88,-1.68,-0.36,14.98
2.602,14.82,-1.68,-0.30,14.92
2.622,14.76,-1.68,-0.18,14.86
2.644,14.70,-1.62,-0.12,14.79
2.668,14.64,-1.62,0.00,14.73
2.685,14.58,-1.56,0.12,14.66
2.706,14.52,-1.56,0.18,14.60
2.725,14.52,-1.50,0.30,14.60
2.747,14.52,-1.50,0.30,14.60
2.766,14.52,-1.50,0.30,14.60
2.786,14.52,-1.50,0.36,14.60
2.806,14.52,-1.50,0.42,14.60
2.827,14.52,-1.50,0.42,14.60
2.846,14.52,-1.50,0.48,14.61
2.867,14.58,-1.50,0.54,14.67
2.887,14.58,-1.50,0.54,14.67
2.908,14.58,-1.56,0.60,14.68
2.939,14.64,-1.56,0.60,14.74
2.952,14.64,-1.62,0.60,14.74
2.970,14.64,-1.62,0.60,14.74
2.991,14.70,-1.62,0.48,14.80
3.011,14.70,-1.68,0.36,14.80
3.035,14.70,-1.68,0.30,14.80
3.052,14.70,-1.68,0.18,14.80
3.082,14.76,-1.68,0.06,14.86
3.091,14.76,-1.68,0.00,14.86
3.112,14.76,-1.68,-0.12,14.86
3.132,14.76,-1.68,-0.18,14.86
