time,Bx,By,Bz,BT
0.008,-15.42,-13.98,10.26,23.21
0.024,-15.42,-13.92,10.32,23.20
0.044,-15.42,-13.86,10.38,23.19
0.072,-15.42,-13.86,10.44,23.21
0.086,-15.42,-13.86,10.44,23.21
0.107,-15.42,-13.86,10.50,23.24
0.127,-15.42,-13.86,10.44,23.21
0.160,-15.42,-13.86,10.38,23.19
0.175,-15.42,-13.92,10.20,23.14
0.188,-15.42,-13.92,9.96,23.04
0.208,-15.42,-13.98,9.42,22.85
0.229,-15.36,-13.98,8.76,22.54
0.260,-15.30,-13.98,7.92,22.19
0.274,-15.18,-14.04,7.08,21.86
0.292,-15.00,-14.16,6.24,21.55
0.314,-14.82,-14.22,5.34,21.22
0.354,-14.52,-14.34,4.56,20.91
0.374,-14.28,-14.46,3.78,20.67
0.391,-14.10,-14.52,3.30,20.51
0.403,-13.92,-14.64,2.94,20.41
0.422,-13.74,-14.76,2.76,20.35
0.442,-13.68,-14.82,2.64,20.34
0.465,-13.68,-14.88,2.46,20.36
0.492,-13.74,-14.88,2.34,20.39
0.504,-13.86,-14.82,2.28,20.42
0.525,-13.92,-14.82,2.22,20.45
0.558,-13.98,-14.64,2.16,20.36
0.565,-14.04,-14.40,2.10,20.22
0.586,-14.10,-14.04,2.04,20.00
0.605,-14.16,-13.74,1.92,19.82
0.626,-14.16,-13.38,1.68,19.55
0.658,-14.16,-13.08,1.50,19.33
0.671,-14.22,-12.84,1.32,19.20
0.691,-14.22,-12.54,1.14,18.99
0.711,-14.28,-12.36,0.90,18.91
0.731,-14.46,-12.24,0.66,18.96
0.761,-14.58,-12.30,0.42,19.08
0.772,-14.88,-12.30,0.18,19.31
0.791,-15.12,-12.24,-0.06,19.45
0.815,-15.42,-12.18,-0.36,19.65
0.835,-15.78,-12.06,-0.66,19.87
0.855,-16.14,-11.94,-0.96,20.10
0.872,-16.50,-11.82,-1.26,20.34
0.895,-16.80,-11.64,-1.56,20.50
0.914,-17.10,-11.52,-1.86,20.70
0.936,-17.22,-11.40,-2.16,20.76
0.955,-17.40,-11.22,-2.28,20.83
0.979,-17.52,-11.10,-2.40,20.88
1.003,-17.58,-11.04,-2.52,20.91
1.019,-17.64,-10.98,-2.58,20.94
1.039,-17.64,-10.92,-2.64,20.91
1.059,-17.58,-10.92,-2.64,20.86
1.080,-17.46,-10.86,-2.64,20.73
1.103,-17.40,-10.80,-2.64,20.65
1.120,-17.28,-10.80,-2.70,20.56
1.141,-17.16,-10.80,-2.70,20.45
1.175,-17.04,-10.80,-2.70,20.35
1.182,-16.98,-10.80,-2.70,20.30
1.202,-16.86,-10.80,-2.70,20.20
1.222,-16.80,-10.80,-2.70,20.15
1.242,-16.80,-10.80,-2.64,20.15
1.282,-16.80,-10.80,-2.64,20.15
1.283,-16.80,-10.80,-2.64,20.15
1.306,-16.80,-10.80,-2.64,20.15
1.321,-16.80,-10.80,-2.58,20.14
1.339,-16.80,-10.80,-2.58,20.14
1.359,-16.80,-10.80,-2.64,20.15
1.380,-16.74,-10.80,-2.64,20.10
1.400,-16.68,-10.80,-2.70,20.05
1.420,-16.68,-10.74,-2.76,20.03
1.441,-16.62,-10.74,-2.82,19.99
1.461,-16.50,-10.74,-2.88,19.90
1.486,-16.44,-10.74,-3.00,19.87
1.505,-16.38,-10.74,-3.06,19.82
1.526,-16.32,-10.74,-3.12,19.78
1.554,-16.26,-10.80,-3.18,19.78
1.568,-16.26,-10.80,-3.24,19.79
1.586,-16.26,-10.80,-3.24,19.79
1.606,-16.26,-10.80,-3.30,19.80
1.627,-16.20,-10.80,-3.30,19.75
1.647,-16.20,-10.80,-3.30,19.75
1.670,-16.14,-10.80,-3.30,19.70
1.690,-16.14,-10.80,-3.30,19.70
1.715,-16.08,-10.80,-3.30,19.65
1.732,-16.02,-10.80,-3.30,19.60
1.749,-15.96,-10.80,-3.30,19.55
1.769,-15.90,-10.86,-3.36,19.55
1.805,-15.84,-10.86,-3.36,19.50
1.811,-15.78,-10.92,-3.36,19.48
1.830,-15.78,-10.92,-3.42,19.49
1.851,-15.72,-10.92,-3.42,19.44
1.871,-15.72,-10.98,-3.48,19.49
1.895,-15.78,-10.98,-3.48,19.54
1.919,-15.78,-10.98,-3.48,19.54
1.932,-15.78,-10.98,-3.48,19.54
1.952,-15.78,-10.98,-3.48,19.54
1.972,-15.78,-10.98,-3.48,19.54
1.993,-15.78,-10.98,-3.48,19.54
2.013,-15.78,-10.98,-3.48,19.54
2.034,-15.78,-10.98,-3.48,19.54
2.054,-15.78,-10.98,-3.48,19.54
2.075,-15.78,-10.98,-3.48,19.54
2.096,-15.78,-10.98,-3.48,19.54
2.114,-15.78,-10.98,-3.48,19.54
2.138,-15.78,-10.98,-3.48,19.54
2.156,-15.78,-10.98,-3.48,19.54
2.176,-15.78,-10.98,-3.48,19.54
2.202,-15.78,-10.98,-3.54,19.55
2.220,-15.78,-10.98,-3.54,19.55
2.238,-15.78,-10.98,-3.54,19.55
2.259,-15.78,-10.98,-3.60,19.56
2.280,-15.78,-10.98,-3.60,19.56
2.299,-15.84,-10.98,-3.60,19.61
2.326,-15.84,-10.98,-3.66,19.62
2.336,-15.84,-10.98,-3.66,19.62
2.357,-15.84,-10.92,-3.60,19.57
2.386,-15.90,-10.92,-3.60,19.62
2.405,-15.90,-10.86,-3.54,19.58
2.424,-15.84,-10.80,-3.54,19.50
2.445,-15.84,-10.74,-3.54,19.46
2.475,-15.84,-10.74,-3.48,19.45
2.490,-15.84,-10.68,-3.48,19.42
2.502,-15.78,-10.62,-3.48,19.34
2.523,-15.78,-10.62,-3.48,19.34
2.544,-15.78,-10.62,-3.48,19.34
2.585,-15.78,-10.62,-3.48,19.34
2.587,-15.84,-10.62,-3.48,19.39
2.605,-15.90,-10.62,-3.48,19.43
2.624,-15.96,-10.62,-3.48,19.48
2.645,-16.02,-10.62,-3.48,19.53
2.683,-16.02,-10.62,-3.48,19.53
2.686,-16.08,-10.62,-3.48,19.58
2.705,-16.08,-10.62,-3.48,19.58
2.723,-16.14,-10.62,-3.48,19.63
2.743,-16.08,-10.62,-3.48,19.58
2.772,-16.08,-10.62,-3.48,19.58
2.788,-16.02,-10.62,-3.48,19.53
2.803,-16.02,-10.62,-3.48,19.53
2.824,-15.96,-10.62,-3.48,19.48
2.844,-15.90,-10.56,-3.48,19.40
2.865,-15.84,-10.50,-3.48,19.32
2.891,-15.78,-10.44,-3.42,19.23
2.911,-15.72,-10.44,-3.36,19.17
2.930,-15.66,-10.38,-3.30,19.08
2.955,-15.60,-10.32,-3.12,18.96
2.972,-15.60,-10.26,-3.00,18.91
2.997,-15.60,-10.26,-2.88,18.89
3.020,-15.60,-10.26,-2.70,18.87
3.035,-15.60,-10.26,-2.58,18.85
3.053,-15.60,-10.32,-2.46,18.87
3.073,-15.60,-10.32,-2.34,18.85
3.096,-15.60,-10.38,-2.34,18.88
3.115,-15.60,-10.38,-2.34,18.88
3.137,-15.54,-10.50,-2.40,18.91
3.159,-15.54,-10.62,-2.46,18.98
3.179,-15.48,-10.74,-2.46,19.00
3.205,-15.48,-10.86,-2.52,19.08
3.222,-15.48,-10.98,-2.52,19.15
3.244,-15.42,-11.10,-2.58,19.17
3.264,-15.42,-11.16,-2.58,19.21
3.285,-15.42,-11.22,-2.64,19.25
3.307,-15.42,-11.22,-2.64,19.25
3.331,-15.42,-11.22,-2.64,19.25
3.351,-15.36,-11.22,-2.64,19.20
3.366,-15.36,-11.22,-2.64,19.20
3.395,-15.30,-11.16,-2.64,19.12
3.405,-15.30,-11.10,-2.58,19.08
3.426,-15.30,-11.10,-2.58,19.08
3.451,-15.24,-11.10,-2.52,19.02
3.472,-15.24,-11.10,-2.46,19.01
3.489,-15.24,-11.10,-2.28,18.99
3.514,-15.24,-11.10,-2.16,18.98
3.527,-15.24,-11.10,-2.04,18.96
3.548,-15.18,-11.10,-1.92,18.90
3.568,-15.18,-11.10,-1.80,18.89
3.598,-15.12,-11.10,-1.68,18.83
3.608,-15.06,-11.10,-1.56,18.77
3.630,-15.00,-11.10,-1.50,18.72
3.651,-14.94,-11.10,-1.50,18.67
3.669,-14.88,-11.10,-1.50,18.62
3.693,-14.82,-11.10,-1.44,18.57
3.717,-14.76,-11.10,-1.44,18.52
3.733,-14.76,-11.10,-1.44,18.52
3.754,-14.76,-11.10,-1.38,18.52
3.777,-14.76,-11.10,-1.38,18.52
3.793,-14.88,-11.10,-1.38,18.62
3.825,-14.94,-11.10,-1.44,18.67
3.841,-15.00,-11.10,-1.44,18.72
3.854,-15.06,-11.10,-1.56,18.77
3.874,-15.06,-11.10,-1.62,18.78
3.898,-15.06,-11.10,-1.74,18.79
3.918,-15.12,-11.10,-1.86,18.85
3.937,-15.12,-11.10,-1.92,18.85
3.957,-15.12,-11.10,-2.04,18.87
3.977,-15.12,-11.10,-2.10,18.87
4.000,-15.12,-11.10,-2.10,18.87
4.020,-15.18,-11.04,-2.10,18.89
4.041,-15.24,-10.98,-2.04,18.89
4.063,-15.36,-10.98,-2.04,18.99
4.084,-15.48,-11.04,-1.98,19.12
4.106,-15.60,-10.98,-1.86,19.17
4.123,-15.72,-10.98,-1.74,19.25
4.143,-15.78,-10.98,-1.68,19.30
4.164,-15.90,-10.98,-1.56,19.39
4.185,-15.96,-11.04,-1.50,19.46
4.211,-15.96,-11.04,-1.38,19.46
4.225,-15.96,-11.04,-1.32,19.45
4.246,-15.90,-10.98,-1.26,19.36
4.266,-15.84,-10.98,-1.26,19.31
4.286,-15.78,-10.98,-1.26,19.27
