time,Bx,By,Bz,BT
0.018,-0.06,-7.86,14.46,16.46
0.036,0.00,-7.74,14.52,16.45
0.056,0.00,-7.68,14.58,16.48
0.081,0.12,-7.62,14.64,16.50
0.099,0.18,-7.56,14.76,16.58
0.118,0.24,-7.50,14.88,16.66
0.138,0.30,-7.50,14.94,16.72
0.171,0.36,-7.50,15.00,16.77
0.185,0.36,-7.50,15.06,16.83
0.201,0.36,-7.50,15.12,16.88
0.221,0.36,-7.50,15.12,16.88
0.244,0.36,-7.50,15.06,16.83
0.263,0.36,-7.50,15.00,16.77
0.304,0.36,-7.50,14.94,16.72
0.305,0.36,-7.50,14.88,16.67
0.325,0.36,-7.44,14.82,16.59
0.351,0.24,-7.44,14.76,16.53
0.364,0.12,-7.38,14.70,16.45
0.392,0.00,-7.38,14.70,16.45
0.405,-0.12,-7.32,14.64,16.37
0.426,-0.24,-7.26,14.64,16.34
0.448,-0.36,-7.26,14.64,16.35
0.468,-0.48,-7.26,14.64,16.35
0.503,-0.54,-7.32,14.64,16.38
0.518,-0.42,-7.32,14.64,16.37
0.532,-0.18,-7.44,14.64,16.42
0.551,0.00,-7.56,14.64,16.48
0.572,0.12,-7.62,14.64,16.50
0.592,0.24,-7.74,14.64,16.56
0.618,0.42,-7.86,14.64,16.62
0.632,0.54,-7.98,14.64,16.68
0.652,0.66,-7.98,14.64,16.69
0.672,0.66,-8.04,14.64,16.72
0.693,0.54,-8.04,14.64,16.71
0.719,0.48,-8.04,14.64,16.71
0.734,0.48,-8.04,14.64,16.71
0.754,0.42,-8.04,14.64,16.71
0.774,0.36,-8.04,14.64,16.71
0.795,0.30,-7.98,14.64,16.68
0.815,0.24,-7.92,14.64,16.65
0.833,0.18,-7.92,14.64,16.65
0.854,0.12,-7.86,14.64,16.62
0.888,0.12,-7.80,14.64,16.59
0.898,0.06,-7.74,14.64,16.56
0.915,0.06,-7.68,14.64,16.53
0.935,0.06,-7.68,14.64,16.53
0.955,0.06,-7.62,14.64,16.50
0.993,0.06,-7.62,14.64,16.50
0.995,0.06,-7.62,14.64,16.50
1.016,0.06,-7.74,14.64,16.56
1.037,0.06,-7.86,14.58,16.56
1.058,0.06,-7.92,14.58,16.59
1.081,0.06,-8.04,14.52,16.60
1.097,0.06,-8.16,14.46,16.60
1.125,0.06,-8.28,14.46,16.66
1.139,0.12,-8.40,14.40,16.67
1.159,0.12,-8.40,14.34,16.62
1.179,0.18,-8.34,14.40,16.64
1.208,0.18,-8.28,14.40,16.61
1.219,0.18,-8.22,14.40,16.58
1.240,0.24,-8.16,14.40,16.55
1.259,0.24,-8.04,14.46,16.55
1.280,0.30,-7.98,14.46,16.52
1.301,0.30,-7.86,14.46,16.46
1.325,0.30,-7.80,14.46,16.43
1.345,0.30,-7.80,14.46,16.43
1.365,0.30,-7.74,14.46,16.40
1.387,0.30,-7.68,14.46,16.38
1.408,0.24,-7.68,14.46,16.37
1.430,0.24,-7.68,14.46,16.37
1.449,0.24,-7.68,14.46,16.37
1.470,0.24,-7.68,14.46,16.37
1.492,0.24,-7.68,14.46,16.37
1.515,0.24,-7.68,14.40,16.32
1.532,0.24,-7.68,14.40,16.32
1.552,0.24,-7.68,14.40,16.32
1.575,0.24,-7.68,14.40,16.32
1.595,0.24,-7.68,14.40,16.32
1.626,0.18,-7.68,14.34,16.27
1.634,0.18,-7.68,14.40,16.32
1.654,0.12,-7.68,14.40,16.32
1.675,0.06,-7.68,14.46,16.37
1.705,0.00,-7.68,14.46,16.37
1.716,0.00,-7.62,14.46,16.34
1.736,-0.06,-7.62,14.46,16.35
1.755,-0.12,-7.56,14.52,16.37
1.776,-0.12,-7.44,14.58,16.37
1.796,-0.12,-7.38,14.58,16.34
1.826,-0.12,-7.32,14.58,16.31
1.837,-0.12,-7.26,14.64,16.34
1.860,-0.06,-7.20,14.70,16.37
1.879,0.00,-7.14,14.76,16.40
1.899,0.06,-7.14,14.88,16.50
1.926,0.12,-7.14,14.94,16.56
1.943,0.12,-7.14,15.00,16.61
1.962,0.18,-7.14,15.06,16.67
1.982,0.24,-7.14,15.12,16.72
2.004,0.30,-7.14,15.12,16.72
2.022,0.30,-7.14,15.12,16.72
2.043,0.30,-7.14,15.12,16.72
2.079,0.36,-7.14,15.12,16.72
2.088,0.36,-7.14,15.12,16.72
2.104,0.42,-7.14,15.12,16.73
2.127,0.42,-7.20,15.12,16.75
2.145,0.48,-7.20,15.12,16.75
2.164,0.54,-7.20,15.12,16.76
2.184,0.60,-7.20,15.12,16.76
2.207,0.66,-7.20,15.12,16.76
2.227,0.66,-7.20,15.12,16.76
2.251,0.66,-7.20,15.12,16.76
2.268,0.72,-7.26,15.12,16.79
2.290,0.72,-7.32,15.18,16.87
2.309,0.72,-7.38,15.24,16.95
2.327,0.72,-7.38,15.24,16.95
2.348,0.72,-7.44,15.30,17.03
2.365,0.72,-7.50,15.36,17.11
2.386,0.72,-7.62,15.36,17.16
2.408,0.72,-7.68,15.42,17.24
2.428,0.66,-7.80,15.42,17.29
2.446,0.66,-7.80,15.42,17.29
2.466,0.66,-7.86,15.42,17.32
2.486,0.60,-7.98,15.42,17.37
2.511,0.60,-8.04,15.42,17.40
2.532,0.60,-8.04,15.42,17.40
2.549,0.66,-7.92,15.42,17.35
2.571,0.66,-7.86,15.42,17.32
2.605,0.66,-7.80,15.42,17.29
2.617,0.72,-7.74,15.42,17.27
2.635,0.72,-7.62,15.42,17.22
2.651,0.72,-7.56,15.42,17.19
2.676,0.72,-7.44,15.42,17.14
2.701,0.72,-7.38,15.36,17.06
2.713,0.66,-7.44,15.30,17.03
2.743,0.66,-7.38,15.24,16.95
2.755,0.66,-7.44,15.24,16.97
2.776,0.60,-7.50,15.18,16.94
2.802,0.60,-7.56,15.12,16.92
2.816,0.54,-7.62,15.12,16.94
2.849,0.54,-7.68,15.06,16.91
2.856,0.48,-7.74,14.94,16.83
2.876,0.48,-7.86,14.94,16.89
2.896,0.48,-7.92,14.82,16.81
2.922,0.42,-7.98,14.64,16.68
2.938,0.42,-8.04,14.52,16.60
2.959,0.36,-8.04,14.40,16.50
2.979,0.36,-8.16,14.28,16.45
2.998,0.36,-8.22,14.16,16.38
3.025,0.36,-8.22,14.16,16.38
3.039,0.36,-8.22,14.04,16.27
3.060,0.36,-8.22,14.10,16.33
3.081,0.36,-8.22,14.10,16.33
3.100,0.36,-8.22,14.10,16.33
3.124,0.36,-8.22,14.16,16.38
3.143,0.30,-8.22,14.16,16.38
3.165,0.18,-8.22,14.16,16.37
3.184,0.12,-8.22,14.16,16.37
3.204,0.06,-8.22,14.16,16.37
3.227,0.00,-8.16,14.16,16.34
3.244,-0.06,-8.04,14.16,16.28
3.266,-0.12,-7.98,14.16,16.25
3.285,-0.18,-7.92,14.16,16.23
3.305,-0.18,-7.86,14.16,16.20
3.327,-0.12,-7.80,14.16,16.17
3.349,-0.12,-7.74,14.16,16.14
3.369,-0.12,-7.68,14.16,16.11
3.389,-0.12,-7.68,14.22,16.16
3.409,-0.12,-7.68,14.28,16.21
3.429,-0.12,-7.68,14.34,16.27
3.450,-0.12,-7.68,14.40,16.32
3.469,-0.12,-7.68,14.46,16.37
3.489,-0.06,-7.68,14.58,16.48
3.517,-0.06,-7.68,14.64,16.53
3.532,-0.06,-7.68,14.76,16.64
3.551,-0.06,-7.68,14.76,16.64
3.571,-0.06,-7.68,14.82,16.69
3.610,-0.06,-7.68,14.82,16.69
3.612,-0.06,-7.68,14.82,16.69
3.631,-0.06,-7.68,14.76,16.64
3.654,-0.06,-7.68,14.76,16.64
3.673,-0.12,-7.68,14.76,16.64
3.699,-0.12,-7.68,14.70,16.59
3.714,-0.06,-7.68,14.70,16.59
3.746,-0.06,-7.68,14.64,16.53
3.756,0.00,-7.68,14.64,16.53
3.775,0.06,-7.74,14.64,16.56
3.797,0.18,-7.74,14.70,16.61
3.815,0.42,-7.80,14.76,16.70
3.842,0.66,-7.80,14.88,16.81
3.856,0.84,-7.80,15.06,16.98
3.877,1.02,-7.86,15.18,17.12
3.898,1.26,-7.86,15.36,17.30
3.917,1.38,-7.86,15.54,17.47
3.939,1.50,-7.86,15.72,17.64
3.956,1.62,-7.86,15.84,17.76
3.978,1.62,-7.86,15.96,17.86
3.998,1.56,-7.86,15.96,17.86
4.018,1.56,-7.86,15.96,17.86
4.038,1.56,-7.86,15.96,17.86
4.058,1.50,-7.86,15.96,17.85
4.081,1.50,-7.86,15.96,17.85
4.100,1.50,-7.86,15.96,17.85
4.118,1.44,-7.86,15.96,17.85
4.140,1.44,-7.86,15.96,17.85
4.155,1.38,-7.86,15.96,17.84
4.176,1.38,-7.86,15.96,17.84
4.196,1.38,-7.86,15.96,17.84
4.215,1.38,-7.86,15.96,17.84
4.238,1.38,-7.86,15.96,17.84
4.255,1.38,-7.86,15.96,17.84
4.276,1.38,-7.80,15.96,17.82
4.298,1.38,-7.74,15.96,17.79
4.318,1.38,-7.68,15.96,17.77
4.341,1.38,-7.62,15.96,17.74
4.361,1.38,-7.56,15.96,17.71
4.379,1.38,-7.50,15.96,17.69
4.399,1.32,-7.44,15.90,17.60
4.420,1.32,-7.38,15.84,17.52
4.444,1.26,-7.38,15.78,17.47
4.464,1.20,-7.38,15.66,17.35
4.484,1.14,-7.32,15.60,17.27
4.504,1.02,-7.32,15.54,17.21
4.525,0.96,-7.32,15.48,17.15
4.549,0.84,-7.32,15.42,17.09
4.569,0.78,-7.38,15.36,17.06
4.589,0.72,-7.44,15.36,17.08
4.619,0.66,-7.44,15.36,17.08
4.630,0.54,-7.50,15.36,17.10
4.650,0.54,-7.56,15.36,17.13
4.670,0.48,-7.62,15.30,17.10
4.692,0.48,-7.62,15.18,16.99
4.716,0.48,-7.68,15.12,16.97
4.731,0.42,-7.68,15.00,16.86
4.758,0.42,-7.68,14.94,16.80
4.772,0.36,-7.68,14.82,16.70
4.793,0.36,-7.68,14.70,16.59
4.816,0.36,-7.68,14.58,16.48
4.836,0.36,-7.68,14.58,16.48
4.860,0.30,-7.62,14.52,16.40
4.882,0.30,-7.56,14.52,16.37
4.896,0.30,-7.50,14.46,16.29
4.917,0.30,-7.50,14.46,16.29
4.941,0.24,-7.44,14.46,16.26
4.960,0.24,-7.44,14.46,16.26
4.981,0.24,-7.44,14.46,16.26
4.999,0.24,-7.44,14.46,16.26
5.019,0.24,-7.44,14.46,16.26
5.041,0.30,-7.50,14.46,16.29
5.065,0.36,-7.50,14.46,16.29
5.080,0.42,-7.56,14.46,16.32
5.101,0.48,-7.56,14.46,16.32
5.121,0.54,-7.62,14.46,16.35
5.147,0.60,-7.62,14.46,16.36
5.165,0.66,-7.68,14.46,16.39
5.184,0.72,-7.68,14.46,16.39
5.205,0.72,-7.68,14.46,16.39
5.236,0.72,-7.74,14.46,16.42
5.253,0.72,-7.74,14.52,16.47
5.266,0.72,-7.74,14.52,16.47
5.286,0.72,-7.68,14.58,16.49
5.307,0.72,-7.68,14.58,16.49
5.337,0.72,-7.68,14.58,16.49
5.353,0.72,-7.68,14.64,16.55
5.365,0.72,-7.68,14.64,16.55
5.386,0.72,-7.68,14.64,16.55
5.406,0.72,-7.74,14.64,16.58
5.436,0.72,-7.74,14.64,16.58
5.451,0.72,-7.80,14.64,16.60
5.464,0.72,-7.80,14.64,16.60
5.484,0.72,-7.80,14.64,16.60
5.504,0.72,-7.86,14.64,16.63
5.539,0.72,-7.86,14.64,16.63
5.547,0.72,-7.86,14.64,16.63
5.566,0.72,-7.86,14.64,16.63
5.585,0.72,-7.86,14.64,16.63
5.606,0.72,-7.92,14.58,16.61
5.636,0.72,-7.92,14.58,16.61
5.646,0.72,-7.98,14.58,16.64
5.666,0.66,-7.98,14.52,16.58
5.687,0.66,-8.04,14.52,16.61
5.708,0.66,-8.10,14.46,16.59
5.736,0.60,-8.22,14.46,16.64
5.755,0.60,-8.28,14.46,16.67
5.777,0.54,-8.28,14.52,16.72
5.795,0.54,-8.34,14.52,16.75
5.817,0.54,-8.40,14.58,16.84
5.838,0.54,-8.40,14.64,16.89
5.856,0.54,-8.40,14.64,16.89
5.876,0.54,-8.40,14.64,16.89
5.898,0.54,-8.34,14.70,16.91
5.921,0.54,-8.28,14.70,16.88
5.943,0.48,-8.22,14.70,16.85
